Operator,TotalServices,UniqueServices,UniqueRoutes,TotalTrips,AverageTrips,MaximumTrips,MinimumTrips,TotalStops,AverageStops,MaximumStops,MinimumStops,PerformanceScore
Compass Travel,187,55,69,1456,7.786096256684492,59,1,17047,91.16042780748663,321,3,7281.5
HOWARDS TRAVEL AND OMEGA BUSWAYS LIMITED,5,3,5,68,13.6,30,4,156,31.2,89,16,179.0
Sweyne Coaches,1,1,1,45,45.0,45,45,27,27.0,27,27,51.1
Bear Buses,4,4,4,8,2.0,2,2,25,6.25,11,3,110.7
Western Dales Bus,9,5,5,40,4.444444444444445,9,1,388,43.111111111111114,59,22,257.4
Bakers Dolphin,8,5,8,16,2.0,2,2,418,52.25,103,16,301.8
MD Bus & Coach,24,13,15,151,6.291666666666667,24,1,794,33.083333333333336,90,3,653.6
Newport Bus,19,5,5,183,9.631578947368421,24,2,1850,97.36842105263158,161,29,753.2
Stringers Pontefract Motorways,2,1,1,43,21.5,22,21,84,42.0,42,42,67.4
Totnes Community Bus,5,5,5,31,6.2,12,2,118,23.6,33,15,172.8
Sullivan Buses,49,22,22,1385,28.26530612244898,406,1,4120,84.08163265306122,178,3,2340.0
Skills Motor Coaches Ltd,2,1,2,165,82.5,96,69,33,16.5,17,16,115.9
Community Transport,2,1,2,6,3.0,3,3,90,45.0,51,39,69.4
Manchester Bus Tours,4,1,1,27,6.75,9,3,44,11.0,11,11,49.0
Boultons of Shropshire Ltd,1,1,1,10,10.0,10,10,13,13.0,13,13,32.9
Taxico (Aimee's),9,8,9,45,5.0,12,2,359,39.888888888888886,72,17,340.7
SWTL,5,5,5,10,2.0,2,2,388,77.6,102,36,245.4
Chepstow Classic Buses,1,1,1,2,2.0,2,2,16,16.0,16,16,30.6
KP CABS Cornwall,3,1,1,131,43.666666666666664,67,20,39,13.0,13,13,89.1
A B Coaches Ltd,6,6,6,12,2.0,2,2,330,55.0,70,36,253.8
Kirkby Lonsdale Coaches,32,15,16,432,13.5,53,2,1429,44.65625,93,8,991.5
Ashcroft Travel Ltd,10,8,10,106,10.6,24,2,449,44.9,78,23,407.1
Peter Hodgson,4,2,2,18,4.5,7,2,268,67.0,72,62,137.6
Fourways Coaches,7,7,7,27,3.857142857142857,6,3,123,17.571428571428573,23,14,222.7
